# Time (min)   PRN   dX (m)   dY (m)   dZ (m)   3D Error (m)   dClk (m)
# ----------------------------------------------------------------------
           0   G02   -1.8695   -0.5150   -1.4178         2.4022   4398.2377
           0   G05   -0.0254   -0.1688    0.3724         0.4096     23.5098
           0   G08   -0.9790    0.8895   -0.2114         1.3395    473.8266
           0   G12   -0.4313    0.2282   -0.5127         0.7078   1110.6535
           0   G13    0.5467   -1.4171    0.6643         1.6578    689.4512
           0   G15   -1.2159    0.1634    0.4217         1.2973   4713.6409
           0   G20   -1.3412   -0.2657    0.8883         1.6305   3748.8954
           0   G21   -1.5771   -0.0292   -0.2922         1.6042    329.2871
           0   G23   -0.1882   -0.7291   -0.6136         0.9713    379.8214
           0   G24   -0.9442   -0.6425    0.3129         1.1842     97.4047
           0   G26   -1.4494    0.0221   -0.3544         1.4923    461.0019
           0   G29    1.1694   -1.0814    0.2401         1.6107     38.8700
          30   G01    0.2439    0.6095    0.6899         0.9524   2041.4223
          30   G02   -0.7557   -0.3717   -0.7588         1.1336   4398.2940
          30   G03   -0.5001    0.8385    1.6926         1.9539    206.4546
          30   G05    0.2211   -0.1380    0.4594         0.5282     23.5230
          30   G06    1.1726   -0.7094   -0.4755         1.4506   5837.9575
          30   G08   -0.7249    0.6086    0.1882         0.9650    473.9260
          30   G09   -0.6440    1.7731   -0.2472         1.9026    937.6051
          30   G10   -1.2098   -1.5477   -0.7380         2.0984   9244.0310
          30   G11    1.1462    0.5648    1.4934         1.9655   3210.7642
          30   G12   -0.3099    0.1471   -0.4910         0.5989   1110.7243
          30   G13    0.7356   -1.4337    0.2589         1.6321    689.4936
          30   G14   -1.2068    1.3046    0.5064         1.8479    556.6481
          30   G15   -0.8929    0.0153    0.3967         0.9772   4713.7923
          30   G16   -0.2567    1.2258   -1.2537         1.7721     78.9452
          30   G17   -0.1311   -0.5176   -0.0689         0.5384   9533.4120
          30   G18    0.3252    0.1725    0.7681         0.8518   9776.4091
          30   G19    0.1579    1.2263    0.3503         1.2851    931.7491
          30   G20   -1.3187   -0.6778    0.6980         1.6387   3748.9077
          30   G21   -1.4010   -0.2701   -0.5881         1.5433    329.3388
          30   G22    0.0499    0.2698   -0.4321         0.5118   1501.4620
          30   G23   -1.0347    0.0934    0.1385         1.0481    379.8876
          30   G24   -0.4673   -0.7050    0.3749         0.9252     97.4122
          30   G25   -1.2663   -0.5386   -1.0985         1.7608     75.5499
          30   G26   -1.1497    0.5962   -0.4581         1.3737    461.0724
          30   G27   -0.7957    0.8656   -0.0106         1.1758   2548.8948
          30   G28    1.0524   -0.2972    1.5571         1.9027   7279.2148
          30   G29    1.1047   -0.9683    0.4961         1.5506     38.9689
          30   G30    0.8020    0.3791   -1.7583         1.9694    190.1645
          30   G31    0.6309    1.2758   -0.7060         1.5887      3.0033
          30   G32   -1.0677   -0.2564    0.7156         1.3106   4695.4056
