PRN,t,X,Y,Z
1,0.000000,-32319896.982329,27062139.115832,-341753.101523
2,0.000000,4451726.985512,41932282.963608,1017260.643235
3,0.000000,-14844475.853663,39480366.578458,669996.850913
4,0.000000,-39600696.046306,14423176.183282,-44103.229826
5,0.000000,21889960.402968,36045236.425465,1115894.400924
6,0.000000,-19744171.969374,37436887.556230,2541025.256136
7,0.000000,-9216554.554256,27029898.042782,-30704882.492007
8,0.000000,-21715504.596712,20263319.070482,29878731.670226
9,0.000000,-9317809.512413,38868540.455254,-13733304.607351
10,0.000000,5802694.491238,34894158.423020,-22479627.746872
11,0.000000,-22355976.192577,10712657.175463,-12686878.474792
12,0.000000,-14374486.546601,-6834847.121208,-22877373.450028
13,0.000000,-4427412.254165,23467326.430920,34792554.940171
14,0.000000,-15947341.015007,2425483.437276,22795145.628137
15,0.000000,2107606.423969,-20598693.865123,-18690220.536752
16,0.000000,-17111608.141635,38637335.754866,-683810.736208
18,0.000000,7340481.757354,41304277.436361,-4222603.561888
19,0.000000,11995297.226230,-12734267.870707,-21728255.187746
20,0.000000,17232457.050452,7524846.679112,-20603843.536511
21,0.000000,-12337652.825368,-23991501.112258,7179298.246645
22,0.000000,-250558.678830,-25975317.240011,-10235132.700657
23,0.000000,-2413057.708639,15996409.246803,-22730185.185488
24,0.000000,-27170787.909840,-6206844.707608,-1065220.219795
25,0.000000,-20609177.527295,7702521.353888,-17155105.824016
26,0.000000,-18261473.360377,-14963854.371411,14850747.977305
27,0.000000,7022894.763269,14980172.484486,22463878.462014
28,0.000000,-10285033.476497,22678638.821231,12589194.187275
29,0.000000,20886870.015022,-17927898.647799,4601017.888665
30,0.000000,20050860.316367,-1976477.113471,19305205.143100
32,0.000000,12499142.468103,23898795.798193,-7153517.780107
33,0.000000,-12021468.831331,12693822.725433,21745365.371146
34,0.000000,-20244563.676276,2248911.998061,-19082335.598704
35,0.000000,9581683.728098,-23035424.282057,-12469125.985233
36,0.000000,20933472.158630,-7108366.435256,17057271.602461
37,0.000000,17475390.173684,15526316.394294,-15230376.997155
38,0.000000,-17810056.207292,23179777.383597,30338198.788901
39,0.000000,-12465245.087722,40185863.618084,-3522268.956828
45,0.000000,2426581.146601,-15875281.670268,22831177.957142
46,0.000000,27256615.116809,5927176.048145,1347631.416765
1,60.000000,-32319900.808255,27062143.783581,-345943.253261
2,60.000000,4451732.475372,41932172.914649,1018801.155906
3,60.000000,-14844419.540688,39480534.162229,667826.644836
4,60.000000,-39600770.794992,14423053.746099,-46758.010673
5,60.000000,21890153.019770,36045102.311214,1118622.108002
6,60.000000,-19672035.994404,37465768.986181,2689475.437627
7,60.000000,-9239060.741838,26963040.205959,-30757968.593207
8,60.000000,-21782646.294606,20321016.782474,29789363.881413
9,60.000000,-9269758.341713,38929655.760440,-13595403.947744
