PRN,t,X,Y,Z
2,0.000000,-15007423.166521,14399954.523029,17077873.164197
5,0.000000,-3078372.946400,18360201.978237,18732163.905355
8,0.000000,4260349.282022,-24447316.769460,-9111389.843408
12,0.000000,8170119.516656,24151537.266201,-7970909.109729
13,0.000000,-12668134.365255,23172826.476887,-2538554.584678
15,0.000000,-847351.910890,24543513.135383,-9904412.911335
20,0.000000,21397582.233791,11668675.462329,-10889058.003724
21,0.000000,24491979.765943,3688255.918795,10081847.632785
23,0.000000,-5497025.756239,-19183998.255063,17685068.324365
24,0.000000,6498484.725777,14844714.899482,-21261213.942148
26,0.000000,12840324.029579,-8630165.777940,21574577.527601
29,0.000000,9543823.949365,12194825.774617,21545057.602122
1,60.000000,-8261984.787464,-13790239.062507,-21403545.644454
2,60.000000,-15130501.570122,14407985.472179,16956902.052183
3,60.000000,-13014914.265102,-22942489.220531,-3560689.424983
4,60.000000,-7404696.066907,-16087580.070809,19795865.301236
5,60.000000,-3172911.092351,18249292.258608,18825019.832052
6,60.000000,-25044091.848109,6415882.561713,6202556.219492
7,60.000000,-23044016.548930,-6869026.744619,12075377.761764
8,60.000000,4302539.134481,-24504395.134847,-8935940.110352
9,60.000000,-11595853.436802,-10966261.781125,21172793.737582
10,60.000000,18527238.374164,3815949.356992,-18670451.607721
11,60.000000,-5459246.551580,-15843255.984208,-21142989.235381
12,60.000000,8130114.075998,24106466.959584,-8150157.771387
13,60.000000,-12691042.646243,23179327.168100,-2348033.466653
14,60.000000,17578815.746422,-16961032.801775,-9873526.869035
15,60.000000,-892525.713291,24605460.010049,-9738088.433573
16,60.000000,5949163.583424,-16252577.791797,19817256.829538
17,60.000000,-17610142.113763,7662098.808714,-17888898.779631
18,60.000000,1127698.239641,-15724621.060165,-21872943.771007
19,60.000000,-18603701.878073,13751236.493583,-13356281.433806
20,60.000000,21438713.632180,11741256.046469,-10728650.362822
21,60.000000,24423965.033663,3715022.628102,10250063.787810
22,60.000000,-8490123.591816,-22768573.205817,-10622116.836420
23,60.000000,-5432266.464888,-19299108.227152,17575078.021347
24,60.000000,6340484.492253,14869390.559546,-21289764.008072
25,60.000000,17612046.251685,19410588.432704,4882666.157839
26,60.000000,12938509.523591,-8497763.626954,21569692.820272
27,60.000000,12319970.950632,-23236664.881220,2037354.730553
28,60.000000,-17225928.471157,-4312769.808536,-19106206.844783
29,60.000000,9461763.672222,12336847.622308,21500281.453370
30,60.000000,-26638774.439187,403299.457997,1218133.263126
31,60.000000,24421646.089924,-7260947.594965,8277175.116819
32,60.000000,17683433.501785,-8404255.165104,-17826061.657070
1,120.000000,-8103005.746889,-13805836.240577,-21452835.840931
2,120.000000,-15252683.796826,14416304.251543,16834681.930206
3,120.000000,-12986443.225726,-22929088.905170,-3748615.462746
4,120.000000,-7330674.744235,-16218674.720985,19716235.410983
5,120.000000,-3268234.414135,18138141.176356,18916409.237119
6,120.000000,-25091126.272872,6407165.364330,6017438.882191
7,120.000000,-22956244.052961,-6888255.253942,12231497.337358
8,120.000000,4343982.330406,-24560405.034454,-8759796.122701
9,120.000000,-11526271.825027,-11112755.618582,21134419.064055
10,120.000000,18602860.421138,3936571.950089,-18571637.064964
11,120.000000,-5325316.357940,-15921721.703857,-21119476.106107
12,120.000000,8089253.534291,24060397.374546,-8328792.828760
13,120.000000,-12713166.643878,23184687.238341,-2157331.863284
14,120.000000,17554262.394819,-16884069.714362,-10043214.516667
15,120.000000,-937110.066160,24666368.423399,-9571010.979792
16,120.000000,6032680.005619,-16122568.587186,19899833.853324
17,120.000000,-17550509.107445,7533234.982144,-17999708.961318
18,120.000000,1285996.094915,-15744873.708204,-21848519.657768
19,120.000000,-18561314.205990,13661061.295158,-13510202.603830
20,120.000000,21479268.781205,11812818.240881,-10567433.203404
21,120.000000,24354822.125625,3742181.961286,10417511.110102
22,120.000000,-8421591.513416,-22716733.714507,-10782546.011401
23,120.000000,-5368204.883824,-19413690.222764,17463756.938238
24,120.000000,6182347.736306,14894617.207468,-21316714.693479
25,120.000000,17622218.442639,19449641.867355,4696843.594635
26,120.000000,13037107.771713,-8365733.663919,21563154.216709
27,120.000000,12326490.036877,-23214689.477918,2230532.914796
28,120.000000,-17295456.195811,-4449279.147653,-19014000.131474
29,120.000000,9380400.592312,12478873.106957,21453853.629477
30,120.000000,-26630045.359777,383022.229853,1404738.465622
31,120.000000,24484209.074752,-7250946.782581,8102460.073118
32,120.000000,17636132.220243,-8274900.551823,-17933530.110718
1,180.000000,-7943714.888847,-13822057.465349,-21500520.931184
2,180.000000,-15373960.289997,14424902.129411,16711221.340246
3,180.000000,-12957110.583852,-22914635.393661,-3936256.166160
4,180.000000,-7257378.407062,-16349482.675943,19635095.733058
5,180.000000,-3364339.376003,18026762.176276,19006325.063510
6,180.000000,-25136801.007474,6398487.150020,5831861.924281
7,180.000000,-22867390.213521,-6907881.080972,12386715.858489
8,180.000000,4384685.828352,-24615336.639169,-8582971.548753
9,180.000000,-11457305.459066,-11259213.053317,21094417.421219
10,180.000000,18678468.800612,4056307.436680,-18471403.222645
11,180.000000,-5191787.056186,-16000499.252149,-21094419.794820
12,180.000000,8047531.566347,24013338.846436,-8506800.915935
13,180.000000,-12734514.992733,23188899.367432,-1966464.415763
14,180.000000,17529346.320844,-16805888.424663,-10212113.880981
15,180.000000,-981111.481495,24726229.113512,-9403193.239983
16,180.000000,6116975.447323,-15992332.468527,19980843.326650
17,180.000000,-17490950.910353,7403395.907635,-18109090.151544
18,180.000000,1444044.864645,-15765659.308184,-21822495.891112
19,180.000000,-18518678.945419,13569747.427858,-13663106.772696
20,180.000000,21519236.462897,11883363.093058,-10405418.675972
21,180.000000,24284559.492750,3769742.408194,10584177.517280
22,180.000000,-8352115.912651,-22664184.922312,-10942145.350792
23,180.000000,-5304839.823869,-19527731.170926,17351113.063618
24,180.000000,6024088.049068,14920394.376681,-21342063.702030
25,180.000000,17631730.306140,19487508.920352,4510665.363509
26,180.000000,13136109.908386,-8234087.127916,21554962.403153
27,180.000000,12332479.410563,-23191398.183546,2423536.671514
28,180.000000,-17365107.716209,-4584905.088519,-18920256.254756
29,180.000000,9299739.365251,12620887.910291,21405777.684889
30,180.000000,-26619989.335952,362641.159880,1591237.370375
31,180.000000,24545500.273951,-7241085.486031,7927140.192270
32,180.000000,17588941.360318,-8144651.378314,-18039612.296298
1,240.000000,-7784126.474582,-13838904.372078,-21546597.148436
