# PRN        X (m)              Y (m)              Z (m)
C 1    -32319896.982    -39351904.011     -6152228.974
C 1    -32320028.508    -39574752.253     -6408748.842
C 1    -32320954.016    -39277424.416     -6580037.320
C 1    -32323985.648    -38506117.548     -6656582.171
C 1    -32329196.988    -37224552.259     -6625375.891
C 1    -32335017.048    -35385660.785     -6476921.548
C 1    -32339212.948    -32971578.152     -6209043.768
C 1    -32340211.794    -30011257.064     -5828327.637
C 1    -32337570.678    -26585268.579     -5350169.871
C 1    -32331922.326    -22824033.279     -4798040.137
C 1    -32324539.265    -18902983.422     -4202310.033
C 1    -32316599.370    -15037290.575     -3598912.214
C 1    -32308803.901    -11476829.786     -3027820.289
C 1    -32301396.223     -8503063.209     -2531530.239
C 1    -32294309.781     -6429376.009     -2153802.411
C 1    -32287649.703     -5602148.456     -1938520.396
C 1    -32282296.788     -6388654.259     -1927605.930
C 1    -32279832.477     -9112233.046     -2154708.021
C 1    -32281455.769    -13865311.432     -2628614.057
C 1    -32287074.016    -20188508.296     -3305188.878
C 1    -32295221.911    -26897820.222     -4072481.275
C 1    -32303624.890    -32556660.731     -4792524.809
C 1    -32310107.195    -36370145.748     -5380379.448
C 1    -32313620.299    -38464090.660     -5829588.477
C 2      4451726.986    -41572738.743     -6288482.104
C 2      4451301.707    -41340094.477     -6210465.467
C 2      4451352.271    -39279524.204     -6046179.891
C 2      4453850.474    -36288363.363     -5872967.634
C 2      4457829.467    -33622193.005     -5794569.520
C 2      4459699.835    -32049373.078     -5867653.558
C 2      4455784.401    -31729522.860     -6091863.258
C 2      4444864.978    -32461343.935     -6432353.220
C 2      4428735.730    -33907707.144     -6840601.449
C 2      4411123.435    -35715763.525     -7266279.469
C 2      4395711.275    -37569392.475     -7663300.380
C 2      4384205.142    -39210700.247     -7993049.386
C 2      4375992.353    -40448535.933     -8226188.797
C 2      4369155.048    -41162178.351     -8343730.377
C 2      4361763.033    -41303640.267     -8337728.139
C 2      4353719.498    -40899491.338     -8211688.462
C 2      4347782.136    -40052047.224     -7980681.712
C 2      4348096.624    -38937729.921     -7670867.026
C 2      4357350.767    -37799541.541     -7318082.803
