PRN,t,X,Y,Z
1,0.000000,-32319476.479449,27062639.301499,-340759.581904
2,0.000000,4452039.534373,41932275.395829,1016895.727386
3,0.000000,-14825637.405594,39487406.141154,670737.573937
4,0.000000,-39599310.538550,14426960.839200,-43426.104776
5,0.000000,21902677.646747,36037520.912665,1115032.721571
6,0.000000,-19636876.471506,37508219.494731,2305135.905088
7,0.000000,-9193272.423597,27059448.879903,-30685569.346561
8,0.000000,-21736384.041591,20241207.890480,29878812.313889
9,0.000000,-9244343.300324,38840468.111637,-13860992.571485
10,0.000000,5828463.184421,34918989.942550,-22434271.945817
11,0.000000,-22368231.716751,10705919.743309,-12671060.429914
12,0.000000,-14404511.290544,-6802627.880932,-22868056.817321
13,0.000000,-4384555.642597,23461217.594771,34802295.122421
14,0.000000,-15931834.213197,2481666.732427,22799878.566773
15,0.000000,2084618.420104,-20576652.174244,-18717046.448036
16,0.000000,-17112343.205027,38635877.383292,-743586.758032
18,0.000000,7340137.731100,41304495.955992,-4221072.640832
19,0.000000,11989206.805355,-12758954.152996,-21717155.443281
20,0.000000,17223980.514059,7502613.440306,-20619057.310144
21,0.000000,-12335070.724017,-23980984.360021,7218789.808828
22,0.000000,-255291.450965,-25989878.551219,-10198000.701557
23,0.000000,-2380811.991371,16004707.518542,-22727750.222119
24,0.000000,-27169560.335779,-6204769.297658,-1107800.259583
25,0.000000,-20587546.127569,7705980.383124,-17179532.983284
26,0.000000,-18286114.194308,-14967224.097943,14816953.970237
27,0.000000,7047547.958404,14955697.477632,22472440.953161
28,0.000000,-10272404.074215,22665519.877273,12623119.768611
29,0.000000,20890673.840635,-17934338.532681,4558471.795313
30,0.000000,20070663.794940,-1998586.952755,19282314.267477
32,0.000000,12497572.806218,23887184.101298,-7194899.084409
33,0.000000,-12011303.332249,12725978.759896,21732168.264060
34,0.000000,-20265143.539278,2273056.328208,-19057639.770710
35,0.000000,9570883.619822,-23022200.257326,-12501817.606445
36,0.000000,20907745.310470,-7116064.968819,17085639.532602
37,0.000000,17494107.825065,15532642.357792,-15202484.216463
38,0.000000,-17825497.186889,23163222.626134,30341859.071366
39,0.000000,-12486751.610874,40176742.353004,-3550180.513841
45,0.000000,2382318.324898,-15886066.128366,22828310.051096
46,0.000000,27254645.535203,5927073.240122,1387733.122916
1,60.000000,-32319507.780359,27062611.217237,-344952.261448
2,60.000000,4452118.268959,41932157.558965,1018440.204810
3,60.000000,-14825536.027641,39487590.639114,668572.321809
4,60.000000,-39599387.230100,14426832.999616,-46081.185996
5,60.000000,21902792.368728,36037433.966130,1117768.473751
6,60.000000,-19564837.300622,37537731.111615,2453468.815947
7,60.000000,-9216253.841278,26992037.010784,-30739112.720222
8,60.000000,-21804480.142428,20298624.874281,29788933.039105
9,60.000000,-9195734.595525,38901689.390199,-13724317.376919
10,60.000000,5836082.197931,34849000.345492,-22541230.774272
11,60.000000,-22308067.100801,10641636.342354,-12829822.370337
12,60.000000,-14295575.829992,-6916080.704480,-22902500.990080
13,60.000000,-4464142.797826,23484995.369769,34775292.101713
14,60.000000,-15975912.518525,2332046.791934,22785091.571521
15,60.000000,2174900.271604,-20667480.753475,-18606426.430275
16,60.000000,-17040816.936848,38670204.478724,-592857.838631
18,60.000000,7339215.761802,41303979.158407,-4227690.281339
19,60.000000,12034406.286166,-12616683.347346,-21775096.077154
20,60.000000,17261295.325696,7638843.308109,-20537571.811916
21,60.000000,-12342077.449768,-24029818.509240,7042145.167880
22,60.000000,-228734.074965,-25924324.200540,-10364059.941756
23,60.000000,-2532083.698055,15966490.010403,-22738251.886571
24,60.000000,-27174067.213391,-6215276.002374,-922803.356570
25,60.000000,-20700746.275170,7674163.834927,-17057204.635753
26,60.000000,-18185004.439889,-14950988.367723,14957288.681739
27,60.000000,6937991.173684,15063966.370470,22434283.065070
28,60.000000,-10337155.592454,22722358.697068,12466966.411880
29,60.000000,20874179.565069,-17906191.009217,4740956.364445
30,60.000000,19983694.932567,-1898544.023515,19382588.157312
32,60.000000,12504704.319862,23935998.973214,-7018213.305261
33,60.000000,-12057272.301611,12583978.231733,21789393.945068
34,60.000000,-20178985.242946,2174338.961091,-19160196.445190
35,60.000000,9633578.357284,-23080349.822844,-12345396.499423
36,60.000000,21019257.997775,-7081983.466783,16962328.137871
37,60.000000,17390810.786323,15513175.581981,-15339950.966468
38,60.000000,-17890271.278973,23208923.477734,30268364.786461
39,60.000000,-12415812.675484,40211646.876127,-3400000.369764
45,60.000000,2534130.604840,-15848393.196490,22838265.088068
46,60.000000,27261258.314318,5936747.883171,1202390.531782
1,120.000000,-32319538.902195,27062583.045552,-349138.334701
2,120.000000,4452196.080259,41932039.923206,1019965.216929
3,120.000000,-14825433.420301,39487775.295945,666394.293389
4,120.000000,-39599464.005878,14426705.443476,-48735.391630
5,120.000000,21902906.987774,36037347.080882,1120482.873709
6,120.000000,-19492548.825201,37566623.221980,2601755.541537
7,120.000000,-9239821.382407,26924820.251298,-30792057.864096
8,120.000000,-21872070.182621,20356634.574486,29698482.067599
9,120.000000,-9146593.251958,38962488.241721,-13587381.285616
10,120.000000,5843086.406372,34778934.665974,-22647750.221609
11,120.000000,-22247414.289826,10576320.939393,-12987731.684055
12,120.000000,-14186962.106674,-7030159.406820,-22935427.029887
13,120.000000,-4543519.040670,23509469.832090,34747625.055688
14,120.000000,-16020552.186680,2182706.026501,22768803.231816
15,120.000000,2264285.967939,-20758124.755570,-18494576.149750
16,120.000000,-16968995.259182,38703909.515017,-442117.644099
18,120.000000,7338289.306175,41303470.383792,-4234226.972126
19,120.000000,12080286.536467,-12474218.682091,-21831597.274278
20,120.000000,17298988.616613,7774386.265989,-20454728.464384
21,120.000000,-12348928.534055,-24077467.079308,6865035.954672
22,120.000000,-201588.092206,-25857791.845159,-10529435.751157
23,120.000000,-2683568.501724,15928847.951744,-22747251.071819
24,120.000000,-27177387.430172,-6225456.352418,-737745.416904
25,120.000000,-20813250.570084,7642974.637142,-16933749.048740
26,120.000000,-18082898.969243,-14934939.260837,15096634.089049
27,120.000000,6829057.343044,15172484.354917,22394642.749325
28,120.000000,-10400927.038146,22778693.981192,12309989.465276
29,120.000000,20856957.319663,-17877056.499883,4923127.867896
30,120.000000,19896668.123670,-1797650.769972,19481581.875288
32,120.000000,12511671.149199,23983629.183400,-6841063.824440
33,120.000000,-12103919.099608,12441792.661233,21845180.216134
34,120.000000,-20092749.274798,2074765.450934,-19261488.591873
35,120.000000,9695313.890911,-23137959.179390,-12188158.777486
36,120.000000,21130083.171438,-7048543.566193,16837898.623735
37,120.000000,17286528.086884,15493889.037125,-15476404.021406
38,120.000000,-17954642.154198,23255188.307185,30194289.626994
39,120.000000,-12344571.967568,40245932.446463,-3249755.393033
45,120.000000,2686151.332387,-15811307.600993,22846713.398002
46,120.000000,27266679.818256,5946092.329985,1016968.706568
1,180.000000,-32319569.847590,27062554.786299,-353317.721556
2,180.000000,4452272.969616,41931922.492429,1021470.734433
3,180.000000,-14825329.584315,39487960.106305,664203.530351
4,180.000000,-39599540.865203,14426578.172090,-51388.670862
5,180.000000,21903021.506177,36037260.260512,1123175.869617
6,180.000000,-19420016.481852,37594893.734019,2749993.294154
7,180.000000,-9263973.320249,26857803.774887,-30844403.783136
8,180.000000,-21939148.966886,20415232.513795,29607461.101064
9,180.000000,-9096922.992952,39022860.087163,-13450186.920695
10,180.000000,5849475.166875,34708798.321021,-22753828.218152
11,180.000000,-22186285.159249,10509972.389981,-13144777.859783
12,180.000000,-14078680.693582,-7144855.755702,-22966832.774910
13,180.000000,-4622678.282655,23534639.088433,34719294.479856
14,180.000000,-16065748.660587,2033656.311478,22751014.655088
15,180.000000,2352772.979397,-20848572.072421,-18381503.004020
16,180.000000,-16896883.619538,38736989.941145,-291369.040395
18,180.000000,7337358.434566,41302969.670787,-4240682.588063
19,180.000000,12126847.037708,-12331572.795044,-21886655.289422
20,180.000000,17337052.552588,7909232.666079,-20370532.731538
21,180.000000,-12355613.274376,-24123929.241059,6687473.850807
22,180.000000,-173846.250983,-25790289.778372,-10694117.223479
23,180.000000,-2835254.242800,15891784.918143,-22754747.180205
24,180.000000,-27179518.016743,-6235320.265995,-552638.682907
25,180.000000,-20925048.250396,7612408.112669,-16809174.370678
26,180.000000,-17979804.268851,-14919086.227949,15234980.987804
27,180.000000,6720753.715123,15281240.863382,22353522.636610
28,180.000000,-10463719.869106,22834514.503477,12152199.291589
29,180.000000,20839016.569821,-17846930.041222,5104974.275935
