# PRN        X (m)              Y (m)              Z (m)
G 1     -5639809.985     14940126.474     21484275.922
G 1    -21584835.855      2341644.165    -15293850.060
G 1      7539635.096    -24610981.455     -5625603.193
G 1     14621476.201      6803367.986     20841868.778
G 1       743430.702     20724254.833    -16608568.892
G 1    -25017601.286     -8437466.841     -4456142.261
G 1     -4152029.163    -14876678.032     21890563.302
G 1      6428628.896    -14924646.372     21269586.312
G 1     21221679.688     -1835677.147    -15853264.329
G 1     -7940641.098     24669892.542     -4733721.428
G 1    -14588748.763     -7714490.099     20548813.175
G 1      -225176.061    -20319613.003    -17122726.154
G 2     26360023.915     -5155816.570     -1662426.974
G 2      -113654.613     17731710.570     19567475.369
G 2    -16850565.467      7963296.735    -18204451.235
G 2     -3139242.519    -26004134.976      1261534.647
G 2     19339566.763      3728096.296     18076420.322
G 2      7148706.470     17412827.100    -19450589.855
G 2    -26435560.602      4903935.349     -1000793.411
G 2       685053.502    -18034029.952     19266930.691
G 2     16742926.543     -7222088.610    -18605707.483
G 2      2809741.036     25998420.787      2055085.288
G 2    -19668578.898     -4450417.702     17565527.601
G 2     -8741630.793    -17665581.421    -18544952.127
G 2     -6434012.257    -17291258.466    -19807689.125
G 3     19197618.119     15484686.666    -10004315.923
G 3     -7494054.168     13235387.186     21850890.925
G 3    -23021562.615     -6185693.491    -11730039.072
G 3     15366013.008    -19164381.272     -9955531.681
G 3     19101033.210     -6290400.724     17244441.381
G 3     12945448.452      7914361.061     21722724.020
G 3     -6612273.906     22518822.291    -12420989.141
G 3    -19182335.093    -15931829.418     -9309399.847
G 3      8212488.507    -12881406.894     21803594.863
G 3     22600652.738      6473081.784    -12373105.359
G 3    -15876805.610     19145159.181     -9156800.469
G 3    -12586359.513     -8635333.379     21659597.476
G 4      5370688.979     18172781.948    -18612512.487
G 4    -12694441.301     13352291.541     19105213.085
G 4    -13982668.950    -22503288.082      -881267.046
G 4     18667707.142     -4852784.245    -18164937.579
G 4     12592914.403     12924285.604     19428704.354
G 4    -22729955.801     13623428.699     -1623360.500
G 4     -4570186.959    -19011974.476    -17977060.424
G 4     13069557.475    -12081860.005     19687750.581
G 4     13399042.669     22775568.683     -2095024.694
